date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-01-29,0.0,32.0,17.0,55.375,1012.9166666666666,23.541666666666668,8.75,9.083333333333334,115.45833333333333,17.375,13.916666666666666,24.416666666666668,0.0,11.6,6.0,2009,1,29,False
2009-01-30,0.0,31.0,16.0,42.666666666666664,1013.2083333333334,22.375,10.0,11.25,112.08333333333333,2.9166666666666665,17.458333333333332,23.416666666666668,0.0,11.6,6.0,2009,1,30,False
2009-01-31,0.0,31.0,15.0,44.666666666666664,1013.2916666666666,22.125,10.0,10.791666666666666,109.91666666666667,3.2083333333333335,17.0,23.166666666666668,0.0,11.6,6.0,2009,1,31,False
2009-02-01,0.0,32.0,14.0,47.166666666666664,1013.7083333333334,22.625,10.0,10.083333333333334,105.91666666666667,0.875,14.833333333333334,24.25,0.0,11.6,6.0,2009,2,1,False
2009-02-02,0.0,32.0,15.0,49.291666666666664,1014.0833333333334,22.875,10.0,9.416666666666666,107.5,2.4166666666666665,14.208333333333334,24.708333333333332,0.0,11.6,6.0,2009,2,2,False
2009-02-03,0.0,31.0,16.0,51.791666666666664,1013.75,22.916666666666668,10.0,9.875,118.16666666666667,4.708333333333333,15.041666666666666,24.375,0.0,11.6,6.0,2009,2,3,False
2009-02-04,0.0,31.0,16.0,52.291666666666664,1014.2916666666666,23.083333333333332,10.0,8.958333333333334,119.29166666666667,8.833333333333334,13.5,24.416666666666668,0.0,11.6,6.0,2009,2,4,False
2009-02-05,0.0,30.0,16.0,50.583333333333336,1014.4166666666666,22.833333333333332,10.0,9.375,118.66666666666667,7.25,14.5,23.75,0.0,11.6,6.0,2009,2,5,False
2009-02-06,0.0,31.0,15.0,47.666666666666664,1014.0,22.75,10.0,9.291666666666666,101.91666666666667,4.666666666666667,13.25,24.541666666666668,0.0,11.6,6.0,2009,2,6,False
2009-02-07,0.0,30.0,15.0,54.166666666666664,1013.4583333333334,22.583333333333332,10.0,11.666666666666666,102.75,4.0,15.75,23.625,0.0,11.6,6.0,2009,2,7,False
2009-02-08,0.0,30.0,15.0,54.333333333333336,1014.7916666666666,22.583333333333332,10.0,11.25,91.16666666666667,5.0,15.583333333333334,23.791666666666668,0.0,11.6,6.0,2009,2,8,False
