day,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,rainy_day
2018-07-12,27.0,21.0,0.0,12.5,5.0,3.9583333333333335,0.0,17.75,24.708333333333332,24.916666666666668,23.625,35.916666666666664,56.416666666666664,70.375,0.0,1006.8333333333334,23.541666666666668,10.0,263.1666666666667,27.666666666666668,0
2018-07-13,27.0,21.0,0.0,12.5,6.0,3.9583333333333335,0.0,17.958333333333332,24.75,25.291666666666668,23.666666666666668,32.875,50.083333333333336,71.29166666666667,0.020833333333333332,1006.5833333333334,23.666666666666668,9.875,262.125,25.708333333333332,1
2018-07-14,27.0,21.0,0.0,11.6,6.0,4.083333333333333,4.0,18.041666666666668,25.333333333333332,25.583333333333332,24.0,34.5,53.625,70.45833333333333,0.0,1005.9166666666666,24.0,10.0,264.75,27.875,0
2018-07-15,27.0,22.0,0.0,10.3,5.0,3.7916666666666665,12.0,18.0,25.375,25.875,23.958333333333332,36.166666666666664,67.70833333333333,70.125,0.016666666666666666,1005.625,23.958333333333332,9.875,263.25,28.375,1
2018-07-16,27.0,21.0,0.0,10.3,5.0,3.9166666666666665,19.0,17.416666666666668,24.708333333333332,25.583333333333332,23.625,37.291666666666664,52.791666666666664,68.375,0.0,1006.5416666666666,23.583333333333332,10.0,262.6666666666667,30.083333333333332,0
2018-07-17,28.0,21.0,0.0,10.3,5.0,4.0,26.0,17.875,25.5,25.5,24.416666666666668,37.0,54.333333333333336,67.91666666666667,0.0,1006.7916666666666,24.416666666666668,10.0,264.4166666666667,29.166666666666668,0
2018-07-18,29.0,21.0,0.0,11.6,5.0,4.125,34.0,17.666666666666668,26.041666666666668,26.5,24.708333333333332,31.666666666666668,46.958333333333336,66.16666666666667,0.0,1007.2083333333334,24.708333333333332,10.0,265.7083333333333,25.625,0
2018-07-19,29.0,22.0,0.0,11.6,5.0,3.9166666666666665,41.0,18.125,26.166666666666668,26.416666666666668,24.791666666666668,32.875,56.875,67.41666666666667,0.012500000000000002,1007.5,24.75,9.875,265.125,26.083333333333332,1
2018-07-20,29.0,22.0,0.0,7.599999999999999,5.0,3.5833333333333335,48.0,17.958333333333332,25.791666666666668,26.125,24.291666666666668,34.708333333333336,65.45833333333333,67.79166666666667,0.0,1007.4166666666666,24.333333333333332,10.0,261.625,27.375,0
2018-07-21,28.0,22.0,0.0,8.9,6.0,3.8333333333333335,55.0,18.0,25.791666666666668,26.166666666666668,24.375,35.541666666666664,56.083333333333336,67.33333333333333,0.008333333333333333,1008.75,24.375,10.0,264.9166666666667,28.291666666666668,1
2018-07-22,28.0,22.0,0.0,11.6,6.0,4.125,63.0,17.541666666666668,26.0,26.375,24.75,31.791666666666668,50.125,65.625,0.0,1008.4166666666666,24.75,10.0,267.7916666666667,25.708333333333332,0
2018-07-23,27.0,21.0,0.0,10.3,6.0,3.9166666666666665,70.0,18.0,25.208333333333332,25.875,23.875,28.958333333333332,58.416666666666664,70.58333333333333,0.012500000000000002,1008.0,23.875,10.0,263.75,23.0,1
2018-07-24,27.0,21.0,0.0,7.599999999999999,6.0,3.625,77.0,18.375,25.208333333333332,25.541666666666668,24.208333333333332,26.791666666666668,51.708333333333336,71.25,0.0375,1009.2916666666666,24.208333333333332,10.0,261.5,21.5,1
2018-07-25,28.0,21.0,0.0,10.3,6.0,3.9166666666666665,84.0,18.291666666666668,25.583333333333332,25.833333333333332,24.333333333333332,25.583333333333332,46.875,70.125,0.012500000000000002,1009.4166666666666,24.333333333333332,10.0,267.625,20.416666666666668,1
2018-07-26,29.0,21.0,0.0,11.6,7.0,4.083333333333333,92.0,18.208333333333332,26.166666666666668,26.375,25.041666666666668,24.625,35.833333333333336,67.04166666666667,0.11249999999999999,1009.625,25.041666666666668,9.625,265.5833333333333,19.375,1
2018-07-27,28.0,21.0,0.0,10.3,6.0,4.0,99.0,18.0,25.583333333333332,25.791666666666668,24.25,27.416666666666668,53.541666666666664,68.70833333333333,0.0,1009.4583333333334,24.25,10.0,261.5,22.208333333333332,0
2018-07-28,28.0,21.0,0.0,10.3,5.0,3.8333333333333335,100.0,18.291666666666668,25.916666666666668,26.458333333333332,24.625,25.708333333333332,54.916666666666664,68.70833333333333,0.2333333333333333,1008.5416666666666,24.625,9.625,265.125,19.625,1
2018-07-29,29.0,21.0,0.0,10.3,6.0,3.875,86.0,18.666666666666668,26.083333333333332,26.291666666666668,24.791666666666668,23.041666666666668,48.041666666666664,70.04166666666667,0.049999999999999996,1007.875,24.708333333333332,10.0,267.2916666666667,18.083333333333332,1
2018-07-30,30.0,21.0,0.0,11.6,7.0,3.9583333333333335,79.0,18.458333333333332,26.375,26.916666666666668,25.125,21.083333333333332,37.666666666666664,68.29166666666667,0.1625,1007.7916666666666,25.125,9.5,267.2083333333333,16.0,1
2018-07-31,28.0,21.0,0.0,10.3,6.0,3.9166666666666665,75.0,18.041666666666668,25.333333333333332,26.083333333333332,24.25,27.208333333333332,48.625,69.25,0.0,1008.9166666666666,24.25,10.0,260.625,21.833333333333332,0
2018-08-01,28.0,21.0,0.0,10.3,6.0,4.041666666666667,65.0,18.0,25.541666666666668,25.958333333333332,24.416666666666668,27.083333333333332,41.916666666666664,68.08333333333333,0.0,1009.5,24.375,10.0,260.8333333333333,21.458333333333332,0
2018-08-02,31.0,21.0,0.0,11.6,7.0,4.125,57.0,18.208333333333332,26.333333333333332,26.625,25.125,24.208333333333332,27.541666666666668,66.125,0.24166666666666667,1010.0833333333334,25.041666666666668,9.625,270.25,18.375,1
2018-08-03,29.0,21.0,0.0,10.3,6.0,3.8333333333333335,50.0,18.208333333333332,25.916666666666668,26.416666666666668,24.791666666666668,21.958333333333332,47.208333333333336,68.33333333333333,0.12083333333333333,1010.5833333333334,24.75,9.625,275.4583333333333,17.041666666666668,1
2018-08-04,28.0,21.0,0.0,10.3,6.0,3.7916666666666665,43.0,18.125,25.375,25.75,24.208333333333332,24.458333333333332,47.25,70.16666666666667,0.008333333333333333,1010.5,24.166666666666668,9.875,276.0,19.541666666666668,1
2018-08-05,28.0,21.0,0.0,10.2,6.0,3.8333333333333335,36.0,17.958333333333332,25.5,25.875,24.375,26.208333333333332,50.458333333333336,68.125,0.0625,1010.3333333333334,24.333333333333332,9.875,275.625,20.75,1
2018-08-06,27.0,21.0,0.0,11.6,6.0,4.041666666666667,28.0,17.125,24.625,25.125,23.708333333333332,31.833333333333332,39.75,66.75,0.0,1009.0833333333334,23.708333333333332,10.0,268.4583333333333,24.833333333333332,0
2018-08-07,26.0,20.0,0.0,8.9,6.0,3.5833333333333335,21.0,17.0,24.0,24.291666666666668,23.041666666666668,32.5,57.75,69.5,0.16666666666666666,1007.5,23.0,10.0,267.25,25.0,1
2018-08-08,28.0,20.0,0.0,11.6,5.0,4.0,14.0,17.75,24.583333333333332,24.875,23.541666666666668,29.625,54.958333333333336,70.45833333333333,0.0,1007.1666666666666,23.541666666666668,10.0,265.2916666666667,22.916666666666668,0
2018-08-09,29.0,20.0,0.0,11.6,6.0,4.041666666666667,6.0,17.916666666666668,25.0,25.166666666666668,24.041666666666668,27.708333333333332,38.375,69.25,0.012500000000000002,1009.5,24.041666666666668,9.875,269.25,21.708333333333332,1
2018-08-10,28.0,20.0,0.0,8.9,6.0,3.625,0.0,17.916666666666668,24.916666666666668,25.166666666666668,23.791666666666668,27.75,61.75,70.83333333333333,0.2625,1010.6666666666666,23.75,9.291666666666666,275.9166666666667,20.333333333333332,1
2018-08-11,24.0,21.0,0.0,7.5,5.0,3.1666666666666665,0.0,18.041666666666668,23.166666666666668,24.041666666666668,22.166666666666668,28.041666666666668,81.375,78.70833333333333,0.15,1009.7083333333334,22.083333333333332,8.166666666666666,271.75,20.958333333333332,1
2018-08-12,24.0,20.0,0.0,7.5,5.0,3.1666666666666665,1.0,18.416666666666668,23.0,23.291666666666668,21.958333333333332,32.291666666666664,86.375,80.5,0.19999999999999998,1008.125,21.958333333333332,8.916666666666666,272.875,23.708333333333332,1
2018-08-13,26.0,20.0,0.0,7.5,5.0,3.4166666666666665,8.0,17.75,23.541666666666668,24.125,22.625,37.208333333333336,75.16666666666667,74.66666666666667,0.012500000000000002,1008.2083333333334,22.625,10.0,268.8333333333333,28.375,1
2018-08-14,24.0,21.0,0.0,8.9,5.0,3.2916666666666665,15.0,18.708333333333332,23.458333333333332,24.666666666666668,22.416666666666668,32.958333333333336,71.95833333333333,80.0,0.16666666666666666,1007.0833333333334,22.416666666666668,9.625,269.0416666666667,23.458333333333332,1
2018-08-15,26.0,20.0,0.0,8.9,6.0,3.5416666666666665,22.0,19.083333333333332,24.166666666666668,24.708333333333332,23.041666666666668,29.666666666666668,69.5,79.54166666666667,0.37916666666666665,1006.2916666666666,23.0,9.25,270.5833333333333,19.875,1
2018-08-16,24.0,21.0,0.0,7.5,5.0,3.375,30.0,18.791666666666668,23.5,24.208333333333332,22.333333333333332,33.583333333333336,71.91666666666667,80.79166666666667,0.06666666666666667,1006.6666666666666,22.333333333333332,10.0,261.875,24.5,1
2018-08-17,27.0,20.0,0.0,10.2,5.0,3.9583333333333335,37.0,18.208333333333332,24.666666666666668,24.916666666666668,23.5,33.708333333333336,56.125,72.95833333333333,0.0,1006.375,23.458333333333332,10.0,267.6666666666667,25.75,0
2018-08-18,28.0,20.0,0.0,10.2,5.0,3.875,44.0,18.0,25.125,25.375,24.166666666666668,33.041666666666664,53.083333333333336,70.08333333333333,0.05833333333333333,1006.875,24.125,9.875,271.2916666666667,25.916666666666668,1
2018-08-19,27.0,21.0,0.0,8.9,5.0,3.875,51.0,18.0,24.75,25.291666666666668,23.708333333333332,30.958333333333332,63.791666666666664,71.20833333333333,0.008333333333333333,1007.0,23.75,10.0,276.4166666666667,23.875,1
2018-08-20,27.0,21.0,0.0,11.6,5.0,4.0,59.0,18.0,24.75,25.25,23.625,31.333333333333332,55.291666666666664,70.91666666666667,0.008333333333333333,1008.0,23.583333333333332,9.875,270.875,24.458333333333332,1
2018-08-21,28.0,20.0,0.0,11.6,6.0,4.125,66.0,17.375,24.958333333333332,25.25,24.125,28.375,32.708333333333336,68.08333333333333,0.0,1008.75,24.041666666666668,10.0,265.3333333333333,22.666666666666668,0
2018-08-22,29.0,20.0,0.0,10.2,6.0,3.9166666666666665,73.0,18.208333333333332,25.5,25.666666666666668,24.291666666666668,24.166666666666668,42.0,70.08333333333333,0.049999999999999996,1009.4583333333334,24.291666666666668,9.875,271.7916666666667,19.041666666666668,1
2018-08-23,28.0,21.0,0.0,10.2,6.0,3.875,81.0,18.708333333333332,25.458333333333332,25.916666666666668,24.291666666666668,24.458333333333332,42.833333333333336,72.08333333333333,0.2708333333333333,1009.5833333333334,24.25,9.625,283.0,18.0,1
2018-08-24,28.0,20.0,0.0,10.2,6.0,4.0,88.0,18.625,25.375,25.791666666666668,24.208333333333332,23.083333333333332,46.0,73.16666666666667,0.3458333333333334,1009.5,24.041666666666668,9.125,286.9166666666667,17.416666666666668,1
2018-08-25,27.0,20.0,0.0,11.6,6.0,3.75,95.0,19.041666666666668,24.958333333333332,25.375,23.791666666666668,20.625,49.916666666666664,75.33333333333333,0.29583333333333334,1008.9583333333334,23.625,9.583333333333334,287.8333333333333,15.083333333333334,1
2018-08-26,28.0,20.0,0.0,10.2,5.0,3.8333333333333335,100.0,18.833333333333332,24.458333333333332,25.0,23.375,22.0,52.291666666666664,76.16666666666667,0.22499999999999998,1008.1666666666666,23.25,9.541666666666666,277.25,16.416666666666668,1
2018-08-27,28.0,20.0,0.0,10.2,6.0,3.7083333333333335,100.0,18.208333333333332,24.291666666666668,24.708333333333332,23.291666666666668,24.791666666666668,52.291666666666664,75.33333333333333,0.13333333333333333,1008.3333333333334,23.291666666666668,9.5,278.5416666666667,19.0,1
2018-08-28,28.0,20.0,0.0,11.6,6.0,3.75,83.0,18.833333333333332,24.416666666666668,24.791666666666668,23.416666666666668,21.75,56.0,75.79166666666667,0.1125,1008.625,23.416666666666668,10.0,265.0416666666667,16.25,1
