year,month,rainy_days,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex
2009,1,4,28.193548387096776,14.64516129032258,62.73790322580645,1014.7459677419355,20.821236559139788,8.995967741935484,9.990591397849462,97.85618279569891,18.309139784946236,14.676075268817204,21.791666666666664,0.0,11.370967741935484,5.483870967741935
2009,2,0,32.214285714285715,15.928571428571429,45.72172619047619,1012.4598214285714,23.879464285714285,9.928571428571429,9.748511904761903,108.95238095238095,4.5148809523809526,14.254464285714286,25.297619047619047,0.0,11.6,6.25
2009,3,14,32.354838709677416,18.93548387096774,47.020161290322584,1011.2432795698925,25.294354838709676,9.931451612903226,7.756720430107527,142.98655913978493,17.713709677419356,11.4502688172043,26.512096774193548,0.0,11.193548387096774,6.32258064516129
2009,4,12,35.56666666666667,21.433333333333334,46.4125,1008.6930555555556,28.084722222222222,9.952777777777778,7.2875,173.0861111111111,13.830555555555556,10.01388888888889,29.16111111111111,0.0,11.596666666666666,7.0
2009,5,24,33.096774193548384,22.129032258064516,60.67204301075269,1007.0174731182796,26.780913978494624,9.745967741935484,9.389784946236558,263.9986559139785,25.58467741935484,12.915322580645162,27.301075268817204,0.0,12.735483870967744,6.580645161290323
2009,6,26,28.666666666666668,20.166666666666668,76.14444444444445,1008.0375,23.693055555555553,9.0625,13.76388888888889,265.98333333333335,46.791666666666664,19.21527777777778,23.855555555555554,0.0,12.346666666666668,5.766666666666667
2009,7,19,27.483870967741936,21.032258064516128,72.14381720430109,1008.0188172043011,23.5994623655914,9.665322580645162,19.131720430107528,266.2755376344086,68.94489247311827,25.497311827956988,23.6505376344086,0.0,10.05483870967742,5.064516129032258
2009,8,24,28.258064516129032,19.838709677419356,77.74731182795698,1008.8481182795699,23.262096774193548,8.981182795698926,12.139784946236558,264.23924731182797,54.48118279569893,16.83736559139785,23.452956989247312,0.0,10.5,5.419354838709677
2009,9,26,26.4,19.8,85.97083333333333,1009.3041666666667,22.519444444444446,7.809722222222222,10.52361111111111,274.39444444444445,63.12361111111111,15.359722222222222,22.79722222222222,0.0,9.373333333333333,5.166666666666667
2009,10,19,26.677419354838708,18.70967741935484,80.86424731182795,1011.494623655914,22.0,8.306451612903226,9.42741935483871,142.18145161290323,51.79032258064516,14.668010752688172,22.393817204301076,0.0,9.151612903225805,5.32258064516129
2009,11,26,25.166666666666668,18.2,89.85972222222222,1012.2,21.1875,5.679166666666666,8.631944444444445,100.56111111111112,72.01805555555555,13.044444444444444,21.50277777777778,0.0,6.67,5.0
2009,12,21,24.06451612903226,16.838709677419356,88.30376344086021,1014.2459677419355,19.864247311827956,6.096774193548387,8.84274193548387,87.54301075268818,65.14516129032258,13.31989247311828,20.205645161290324,0.0,7.587096774193548,4.483870967741935
2010,1,9,26.032258064516128,15.741935483870968,75.98790322580645,1015.2486559139785,20.403225806451612,8.033602150537634,8.797043010752688,89.57930107526882,36.20833333333333,13.271505376344086,20.93010752688172,0.0,10.951612903225806,5.129032258064516
2010,2,1,31.357142857142858,16.964285714285715,53.49404761904761,1013.4613095238095,23.659226190476193,9.772321428571429,9.989583333333332,125.51190476190477,13.145833333333332,15.013392857142858,24.479166666666664,0.0,11.4,6.321428571428571
2010,3,5,35.0,19.161290322580644,41.24596774193548,1011.9516129032259,26.864247311827956,9.983870967741936,9.432795698924732,138.6465053763441,8.52016129032258,13.594086021505378,28.072580645161292,0.0,11.55483870967742,6.838709677419355
2010,4,15,36.9,22.433333333333334,47.3125,1009.8513888888889,28.941666666666666,9.916666666666666,7.636111111111111,165.42083333333332,18.25277777777778,10.625,29.72361111111111,0.0,11.606666666666666,6.9
2010,5,19,34.83870967741935,22.70967741935484,57.155913978494624,1006.9677419354839,27.79032258064516,9.858870967741936,9.301075268817204,230.01344086021507,28.030913978494624,12.943548387096774,28.298387096774192,0.0,12.735483870967744,6.806451612903226
2010,6,26,29.3,20.4,75.11666666666666,1007.8152777777777,24.113888888888887,9.416666666666666,12.543055555555556,258.36111111111114,51.797222222222224,17.4625,24.318055555555553,0.0,12.096666666666666,5.8
2010,7,26,25.806451612903224,19.967741935483872,83.4986559139785,1007.9637096774194,22.38037634408602,8.57258064516129,12.311827956989248,258.2903225806452,67.95295698924731,17.260752688172044,22.556451612903224,0.0,10.041935483870969,5.193548387096774
2010,8,27,27.93548387096774,19.612903225806452,82.91397849462366,1007.7970430107526,23.07930107526882,6.90994623655914,11.720430107526882,265.48790322580646,65.47715053763442,16.25,23.268817204301076,0.0,10.058064516129033,5.0
2010,9,21,28.4,18.966666666666665,83.20972222222221,1008.6805555555555,22.99722222222222,6.747222222222222,9.465277777777777,220.55416666666667,59.58888888888889,13.680555555555555,23.2875,0.0,10.716666666666667,5.0
2010,10,28,27.06451612903226,19.06451612903226,88.92607526881721,1009.005376344086,22.25537634408602,6.15994623655914,7.524193548387097,213.94623655913978,66.875,11.651881720430106,22.637096774193548,0.0,8.816129032258065,5.0
2010,11,23,25.933333333333334,18.066666666666666,88.03055555555555,1010.8944444444444,21.280555555555555,6.016666666666667,7.915277777777778,115.66527777777779,68.1375,12.058333333333334,21.658333333333335,0.0,7.206666666666666,4.933333333333334
2010,12,18,25.64516129032258,15.870967741935484,79.92338709677419,1010.9569892473119,19.858870967741936,7.616935483870968,8.658602150537636,116.76478494623656,44.61290322580645,13.301075268817204,20.512096774193548,0.0,9.058064516129033,4.741935483870968
